id;nome;descricao;foto_url;sku;ean;criado;preco;preco_promocional;total_estoque
1;Specialist;../fake-data/blob/hipster.txt;São Strategist Consultant;Anguila;Bicicleta vermelho program;2021-08-09T20:36:54;33104;95261;73407
2;Account bypass;../fake-data/blob/hipster.txt;reintermediate;synthesizing Technician Cambridgeshire;Credit Granito;2021-08-10T01:15:31;75467;97681;64551
3;Goiás Calças bypass;../fake-data/blob/hipster.txt;next-generation;Executive;Eletrônicos;2021-08-10T13:17:58;15792;43990;82376
4;Computadores up Rodovia;../fake-data/blob/hipster.txt;value-added;programming;connecting;2021-08-09T18:23:28;65343;82414;71537
5;face technologies;../fake-data/blob/hipster.txt;up Avon;applications;bus Plástico;2021-08-10T07:18:51;5612;73089;44329
6;Bedfordshire virtual;../fake-data/blob/hipster.txt;Direct knowledge Global;cohesive;mão turquesa Iraqi;2021-08-10T07:44:14;93424;62586;86925
7;Genérico;../fake-data/blob/hipster.txt;Alemanha virtual;SMTP Regional Integration;back Aço;2021-08-09T23:14:50;41653;44956;68877
8;Markets Jóias;../fake-data/blob/hipster.txt;cross-platform Auto;Administrator Aço;action-items help-desk;2021-08-09T21:19:50;65012;48380;43765
9;Lustroso;../fake-data/blob/hipster.txt;TCP scalable;Savings cinza;Realigned redundant;2021-08-10T09:23:58;93890;75886;14997
10;distributed Lek optimal;../fake-data/blob/hipster.txt;Usability Up-sized Liaison;invoice SCSI Executive;Liaison Calças;2021-08-09T23:49:31;17253;3185;63010
